,Mission name,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Photo
32,ICECube 2 (Ionospheric sCintillation Experimental CubeSat),Cornell University,US,1U,2006-07-26,Launch failure,Educational space systems engineering and GPS scintillation experiment.,
33,ION,University of Illinois,US,2U,2006-07-26,Launch failure,Measuring oxygen airglow emissions and testing thruster module.,
34,KUTESat,University of Kansas,US,1U,2006-07-26,Launch failure,Educational space systems engineering and taking photos.,
35,Mea Huaka (Voyager),University of Hawaii,US,1U,2006-07-26,Launch failure,Demonstrate CubeSat bus and test active antenna for high speed communication.,
36,MEROPE (Montana Earth-Orbiting Pico-Explorer),Montana State University,US,1U,2006-07-26,Launch failure,Measure the radiation of the Van Allen radiation belts.,
37,nCube-1,Norwegian University of Technology and Science (NTNU),Norway,1U,2006-07-26,Launch failure,Educational space systems engineering and AIS receiver.,
38,PicPoT (Small Satellite of Politecnico di Torino),Polytechnic University of Turin,Italy,2.5 kg,2006-07-26,Launch failure,Educational space systems engineering and taking photos.,
39,RinCon 1,University of Arizona,US,1U,2006-07-26,Launch failure,Independent low-power beacon system in analog form.,
40,SACRED (AlcatelSat),University of Arizona,US,1U,2006-07-26,Launch failure,Measure the total amount of radiation and test radiation effect on four commercial integrated circuits.,
41,SEEDS,Nihon University,Japan,1U,2006-07-26,Launch failure,Educational space systems engineering.,
42,HIT-Sat,Hokkaido Institute of Technology,Japan,2.7 kg,2006-09-22,"Reentered, Was operational",Demonstrate CubeSat platform technologies.,
43,RAFT1,US Naval Academy Satellite Lab,US,4 kg,2006-10-12,"Reentered, Operational",Calibrating of and tracking by Navy Space Surveillance (NSSS) radar fence.,
44,MARScom,US Naval Academy Satellite Lab,US,3 kg,2006-12-09,"Reentered, No signal",Educational space systems engineering with communications focus.,
45,MEPSI 2A,DARPA,US,1.1 kg,2006-12-09,"Reentered, Was operational",Demonstrate technologies for miniature autonomous inspector.,
46,MEPSI 2B,DARPA,US,1.4 kg,2006-12-09,"Reentered, Was operational",Demonstrate technologies for miniature autonomous inspector.,
47,GeneSat-1,NASA/Santa Clara University,US,3U,2006-12-16,"Reentered, Operational","Perform experiment on E. Coli bacteria in space, first cubesat to carry a biological experiment.",
48,PehuenSat 1,National University of Comahue,Argentina,6 kg,2007-01-10,Was operational,Educational space systems engineering.,
49,AeroCube-2,The Aerospace Corporation,US,1U,2007-04-17,Was operational,Demonstrate CubeSat platform technologies and CMOS camera.,
50,CAPE-1,University of Louisiana at Lafayette,US,1U,2007-04-17,Was operational,Educational space systems engineering.,
51,CP3,California Polytechnic University,US,1U,2007-04-17,"Was operational, ?",Educational space systems engineering with focus on ADCS.,
52,CP4,California Polytechnic University,US,1U,2007-04-17,Was operational,Demonstrate CubeSat platform technologies and energy dissipation experiment. Backup model of CP2.,
53,CSTB-1 (CubeSat TestBed 1),Boeing,US,1U,2007-04-17,Was operational,Demonstrate CubeSat platform technologies.,
54,Libertad-1,Sergio Arboleda University,Colombia,1U,2007-04-17,Was operational,Educational space systems engineering and transmission of Colombian national anthem.,
55,MAST (Multi-Application Survivable Tether),Tethers Unlimited,US,3U,2007-04-17,Was semi-operational,3 tethered CubeSats with 1 km tether and middle one will crawl.,
56,"MEMS-Pico (ZDPS-1, Zheda Pixing, MEMS)",Zhejiang University,China,1 kg,2007-05-25,No signal,Educational space systems engineering.,
57,"AAUSAT2 (AAUSat-2, AAUSAT-II)",Aalborg University,Denmark,1U,2008-04-28,Operational,Education space systems engineering with focus on ADCS and gamma-ray experiment.,
58,CanX-2,Space Flight Laboratory,Canada,3U,2008-04-28,"Operational, ?","ADCS technology demonstrations including propulsion module. Radio occultation experiment, atmospheric spectrometer and space materials experiment.",
59,"CanX-6 (NTS, Nanosatellite Tracking Ships)",Space Flight Laboratory,Canada,6.5 kg,2008-04-28,Was operational,AIS receiver to detect maritime vessels.,
60,Compass-1,Aachen University of Applied Sciences,Germany,1U,2008-04-28,Was operational,Demonstrate CubeSat platform technologies for educational purposes and GPS receiver. Camera to take photos.,
61,CUTE-1.7+APD-2 (CUTE1.7+APD-II),Tokyo Institute of Technology,Japan,3 kg,2008-04-28,Operational,Follow-on satellite to the Cute-1.7 + APD plus many improvements and camera.,
62,Delfi-C3,Delft University of Technology,Netherlands,3U,2008-04-28,Operational,"Educational space systems engineering, transponder for radio amateurs and demonstrate thin-film solar cells and sun sensors.",
63,"SEEDS-2 (SEEDS-II, Space Engineering EDucation Satellite-2)",Nihon University,Japan,1U,2008-04-28,Operational,Demonstrate the reception of spacecraft parameter data.,
64,NanoSail-D,NASA Marshall Space Flight Center,US,3U,2008-08-03,Launch failure,Deploy solar sail for deorbiting.,
65,PreSat (PharmaSat Risk Evaluation Satellite),NASA Ames Research Center,US,3U,2008-08-03,Launch failure,Demonstrate CubeSat platform for space science laboratory experiments.,
66,"PSSC (PSSCT, PSSCT-1, Pico Satellite Solar Cell Testbed)",The Aerospace Corporation,US,6.5 kg,2008-11-29,"Reentered, Was operational",Monitor accelerated radiation degradation of triple-junction solar cells in a high radiation environment.,
67,"KKS-1 (Kouku Kosen Satellite-1, KISEKI)",Tokyo Metropolitan College of Industrial Technology,Japan,3.17 kg,2009-01-23,Operational,Educational space systems engineering and demonstrate laser ignition thruster and reaction wheels.,
68,PRISM (Picosatellite for Remote¿sensing and Innovative Space Missions),University of Tokyo,Japan,8.5 kg,2009-01-23,Operational,Deployable telescope demonstration and COTS components.,
69,"STARS-1 Daughter (KUKAI, KAI, Space Tethered autonomous Robotic Satellite 1)",Kagawa University,Japan,3.8 kg,2009-01-23,"Reentered, Was operational",Two satellite system connected with 5 meter tether.,
70,"STARS-1 Mother (STARS-C, KUKAI, KU, Space Tethered autonomous Robotic Satellite 1)",Kagawa University,Japan,4.2 kg,2009-01-23,"Reentered, Was operational",Two satellite system connected with 5 meter tether.,
71,AeroCube-3,The Aerospace Corporation,US,1U,2009-05-19,"Reentered, Was operational",Tethered to the upper stage to image the launcher and ADCS sensor experiment.,
72,CP6 (Polysat),California Polytechnic University,US,1U,2009-05-19,"Reentered, Operational",Backup to CP3 with focus on ADCS and deployment of spring steel tapes.,
73,HawkSat I,Hawk Institute of Space Sciences,US,1U,2009-05-19,"Reentered, No signal",Demonstrate CubeSat platform technologies and materials experiment.,
74,PharmaSat 1 (GeneSat-2),NASA Ames Research Center,US,3U,2009-05-19,"Reentered, Was operational",Controlled environment micro-laboratory packed with sensors and optical systems.,
75,"AggieSat2 (Dragonsat 2, AggiSat-2)",Texas A&M University,US,3.2 kg,2009-07-15,"Reentered, Operational",Educational space systems engineering and GPS receiver testing.,
76,BEVO 1 (DragonSat 1),University of Texas at Austin,US,3.5 kg,2009-07-15,"Reentered, No signal",Educational space systems engineering and GPS receiver testing.,
77,BEESAT-1,Berlin Technical University,Germany,1U,2009-09-23,Operational,Demonstrate CubeSat platform technologies and verification of reaction wheels.,
78,ITUpSAT-1,Istanbul Technical University,Turkey,1U,2009-09-23,Operational,Educational space systems engineering and CMOS camera.,
79,SwissCube,Swiss Federal Institute of Technology (EPFL),Switzerland,1U,2009-09-23,Operational,Educational space systems engineering and camera to image nightglow phenomena.,
80,UWE-2,University of Würzburg,Germany,1U,2009-09-23,Was operational,Demonstrate CubeSat platform technologies with focus on ADCS.,
81,"KSat (Hayato, Kagoshima Satellite, K-Sat)",Kagoshima University,Japan,1U,2010-05-20,"Reentered, Was operational",Demonstrate atmospheric water vapour measurements and Ku-band transmitter.,
82,Negai (Negai-Star),Soka University,Japan,1U,2010-05-20,"Reentered, Operational",Commercial FPGA and camera.,
83,Waseda-SAT2,Waseda University,Japan,1U,2010-05-20,"Reentered, No signal",Demonstrate CubeSat platform technologies and paddles for attitude control.,
84,AISSat-1,Norwegian Space Centre,Norway,7 kg,2010-07-12,Operational,Demonstrate space-based AIS detection.,
85,StudSat-1 (Student Satellite-1),Nitte Meenakshi Institute of Technology,India,1U,2010-07-12,Was semi-operational,Educational space systems engineering and CMOS camera.,
86,TISAT-1,University of Applied Sciences of Southern Switzerland (SUPSI),Switzerland,1U,2010-07-12,Operational,Materials experiment to monitor atomic oxygen effects.,
87,"ZDPS 1A 01 (Zheda Pixing, Pixing 1)",Zhejiang University,China,3.5 kg,2010-09-22,Was operational,"Demonstrate platform technologies with focus on camera, COTS components and ADCS.",
88,"ZDPS 1A 02 (Zheda Pixing, Pixing 1)",Zhejiang University,China,3.5 kg,2010-09-22,Was operational,"Demonstrate platform technologies with focus on camera, COTS components and ADCS.",
89,NanoSail-D2,NASA Marshall Space Flight Center,US,3U,2010-11-20,Was operational,Deploy solar sail for deorbiting.,
90,O/OREOS,NASA Ames Research Center,US,3U,2010-11-20,"Operational, ?",Demonstrate technologies for astrobiology experiments.,
91,RAX (Radio Aurora eXplorer),University of Michigan,US,3U,2010-11-20,Was operational,Investigate causes of upper atmospheric/ionospheric plasma turbulence by studying large plasma formations.,
92,Caerus-Mayflower,Northrop Grumman,US,3U,2010-12-08,"Reentered, Operational",Demonstrate CubeSat platform technologies for educational purposes.,
93,Perseus 000,Los Alamos National Laboratory,US,1.5U,2010-12-08,"Reentered, Operational",Demonstrate CubeSat platform technologies and development methodologies.,
94,Perseus 001,Los Alamos National Laboratory,US,1.5U,2010-12-08,"Reentered, Operational",Demonstrate CubeSat platform technologies and development methodologies.,
95,Perseus 002,Los Alamos National Laboratory,US,1.5U,2010-12-08,"Reentered, Operational",Demonstrate CubeSat platform technologies and development methodologies.,
96,Perseus 003,Los Alamos National Laboratory,US,1.5U,2010-12-08,"Reentered, Operational",Demonstrate CubeSat platform technologies and development methodologies.,
97,QbX-1,US Naval Research Laboratory,US,3U,2010-12-08,"Reentered, Operational",Communications payload and experiments.,
98,QbX-2,US Naval Research Laboratory,US,3U,2010-12-08,"Reentered, Operational",Communications payload and experiments.,
99,SMDC-ONE 1 (Space & Missile Defense Command-Operational Nanosatellite Effect),US Army Space and Missile Defense Command,US,3U,2010-12-08,"Reentered, Operational",Demonstrate the ability to rapidly design and develop militarily relevant low cost spacecraft and communications relay.,
100,"E1P (HRBE, Explorer-1 Prime, Hiscock Radiation Belt Explorer)",Montana State University,US,1U,2011-03-04,Launch failure,Detect the Van Allen radiation belts in honor of the 50th anniversary of Explorer-1.,
101,Hermes 1,University of Colorado in Boulder,US,1U,2011-03-04,Launch failure,Demonstrate CubeSat platform technologies and high data-rate communication system.,
102,KySat-1 (KatySat 1),Kentucky universities,US,1U,2011-03-04,Launch failure,Educational outreach using mobile ground stations taken to schools.,
103,"PSSC-2 (Pico Satellite Solar Cell Testbed-2, PSSC Testbed-2, PSSCT-2, PSSC2)",The Aerospace Corporation,US,3.7 kg,2011-07-20,"Reentered, Operational",Risk reduction for SENSE and CTECS sensors and characterizing solar cells.,
104,Jugnu,Indian Institute of Technology Kanpur,India,3U,2011-10-12,"Was operational, ?",Educational space systems engineering with camera and GPS.,
105,SRMSat (Sri Ramaswamy Memorial),SRM University,India,10 kg,2011-10-12,"Operational, ?",Monitor greenhouse gases with grating spectrometer.,
106,"AubieSat-1 (OSCAR-71, AO 71, AubieSat-OSCAR 71)",Auburn University,US,1U,2011-10-28,Was operational,Measure average density of ionospheric electronics using Faraday rotation effect.,
107,"DICE-1 (Dynamic Ionosphere CubeSat Experiment, DICE-E, Farkle)",Utah State University,US,1.5U,2011-10-28,Was operational,Mapping geomagnetic Storm Enhanced Density (SED) plasma bulge and plume formations in Earth’s ionosphere.,
108,"DICE-2 (Dynamic Ionosphere CubeSat Experiment, DICE-Y, Yahtzee)",Utah State University,US,1.5U,2011-10-28,Was operational,Mapping geomagnetic Storm Enhanced Density (SED) plasma bulge and plume formations in Earth’s ionosphere.,
109,"E1P U2 (HRBE , Explorer-1' U2, William A. Hiscock Radiation Belt Explorer)",Montana State University,US,1U,2011-10-28,Operational,Detect the Van Allen radiation belts in honor of the 50th anniversary of Explorer-1.,
110,"M-Cubed (COVE, MCUBED, M3)",University of Michigan,US,1U,2011-10-28,Was semi-operational,Demonstrate CubeSat platform and image Earth.,
111,RAX-2 (Radio Aurora Explorer-2),University of Michigan,US,3U,2011-10-28,Was operational,Investigate causes of upper atmospheric/ionospheric plasma turbulence by studying large plasma formations.,
112,e-st@r (e-star-i),Polytechnic University of Turin,Italy,1U,2012-02-13,"Reentered, Was operational",Demonstrate CubeSat platform technologies for educational purposes with focus on ADCS.,
113,Goliat,University of Bucharest,Romania,1U,2012-02-13,"Reentered, Was semi-operational",Educational space systems engineering and camera.,
114,"MaSat-1 (MO 72, MaSat-OSCAR 72)",Budapest University of Technology and Economics,Hungary,1U,2012-02-13,"Reentered, Operational",Educational space systems engineering and camera.,
115,PW-Sat,Warsaw University of Technology,Poland,1U,2012-02-13,"Reentered, Was operational",Demonstrate deorbiting method with Shape Memory Alloy based sail.,
116,ROBUSTA-1A,ROBUSTA,France,1U,2012-02-13,"Reentered, No signal",Measure the radiation induced degradation of electronic devices.,
117,UNICubeSat-GG (Gravity Gradient),Sapienza University of Rome,Italy,1U,2012-02-13,"Reentered, Was semi-operational",Demonstrate passive attitude control technique based on gravity gradient stabilization with deployable boom.,
118,Xatcobeo (Dieste),University of Vigo,Spain,1U,2012-02-13,"Reentered, Operational",Educational space systems engineering with SDR radio and radiation sensor payloads.,
119,HORYU-2,Kyushu Institute of Technology,Japan,7.1 kg,2012-05-17,Semi-operational,Demonstration of solar array discharge suppression technologies at 300V and taking photos of Earth.,
120,F-1 (F1),FPT University,Vietnam,1U,2012-07-21,"Reentered, No signal",Educational space systems engineering with camera.,
121,FITSat-1 (NIWAKA),Fukuoka Institute of Technology,Japan,1U,2012-07-21,"Reentered, Operational",Demonstrated high-speed transmitter for photos and LED-based optical communication.,
122,RAIKO,Tohoku University,Japan,2U,2012-07-21,"Reentered, Was operational",Demonstrate technologies for larger satellites including CMOS and CCD sensors.,
123,TechEdSat (Technological and Educational Nanosatellite),NASA Ames Research Center,US,1U,2012-07-21,"Reentered, Operational",Demonstrate plug-and-play architecture and communication systems plus camera.,
124,We Wish (We-Wish),Meisei Electric,Japan,1U,2012-07-21,"Reentered, Operational",Educational project with infrared camera and SSTV transmitter.,
125,"TT 1 (TianTuo 1, Tiantuo Yihao Weixing)",National University of Defense Technology,China,9.3 kg,2012-09-08,"Reentered, Operational",Demonstrate CubeSat platform technologies and AIS and camera.,
126,AENEAS,University of Southern California,US,3U,2012-09-13,Operational,Tracking cargo containers over the ocean with deployable parabolic antenna.,
127,AeroCube-4A (AeroCube 4.5A),The Aerospace Corporation,US,1U,2012-09-13,Was operational,Attitude control with movable solar panels and launch vehicle environment data logger.,
128,AeroCube-4B (AeroCube 4.5B),The Aerospace Corporation,US,1U,2012-09-13,"Was operational, ?",Attitude control with movable solar panels for formation flying.,
129,AeroCube-4C,The Aerospace Corporation,US,1U,2012-09-13,"Was operational, ?",Attitude control with movable solar panels for formation flying.,
130,"CINEMA (CubeSat for Ions, Neutrals, Electrons, & MAgnetic fields)",University of California,US,3U,2012-09-13,"Was operational, ?",Space weather measurements measuring electron and ions in the range of 2-200 keV.,
131,CP5,California Polytechnic University,US,1U,2012-09-13,Was operational,De-orbiting experiment using a thin-film deployable mechanism.,
132,CSSWE (Colorado Student Space Weather Experiment),University of Colorado,US,3U,2012-09-13,Was operational,Measure the directional differential flux of Solar Energetic Protons (SEPs) and Earth’s radiation belt electrons.,
133,CXBN (Cosmic X-ray Background Nanosatellite),Morehead State University/Kentucky Space,US,2U,2012-09-13,Was semi-operational,Measure cosmic x-ray background in the 30-50 keV range.,
134,"Re (STARE A, Space-based Telescopes for the Actionable Refinement of Ephemeris)",Lawrence Livermore National Laboratory,US,3U,2012-09-13,Was semi-operational,Observe objects in space for space situational awareness and orbital parameters refinement.,
135,SMDC-ONE 2.1 (Able),US Army Space and Missile Defense Command,US,3U,2012-09-13,Was operational,Demonstrate the ability to rapidly design and develop militarily relevant low cost spacecraft and communications relay.,
136,SMDC-ONE 2.2 (Baker),US Army Space and Missile Defense Command,US,3U,2012-09-13,Was operational,Demonstrate the ability to rapidly design and develop militarily relevant low cost spacecraft and communications relay.,
137,AAUSAT3 (AAUSAT-3),Aalborg University,Denmark,1U,2013-02-25,Was operational,Educational space systems engineering and testing AIS receivers.,
138,"STRaND-1 (Surrey Training, Research and Nanosatellite Demonstrator)",SSTL,UK,3U,2013-02-25,Operational,Demonstrate CubeSat platforms technologies including Android smartphone and propulsion systems.,
139,"TUGSat 1 (Technische Universität Graz Satellite), BRITE-Austria, CanX 3B)",Graz University of Technology,Austria,7 kg,2013-02-25,Operational,"Investigation of the brightness oscillations of massive luminous stars, BRITE constellation.",
140,"UniBRITE-1 (BRITE-U, CanX 3A)",University of Vienna,Austria,7 kg,2013-02-25,Operational,"Investigation of the brightness oscillations of massive luminous stars, BRITE constellation.",
141,BEESAT-2,Berlin Technical University,Germany,1U,2013-04-19,Operational,Educational and technology demonstrations of reaction wheels and camera.,
142,BEESAT-3,Berlin Technical University,Germany,1U,2013-04-19,Operational,Educational training and S-band transmitter demonstration.,
143,Dove-2 (Dove 0405),Planet Labs,US,3U,2013-04-19,"Was operational, Retired",Constellation for optical Earth observation with 3-5m resolution.,
144,OSSI-1 (Open Source Satellite Initiative),Open Source Satellite Initiative,South Korea,1U,2013-04-19,"Reentered, No signal",Simple beacon transmitter and LED array for Morse code messages.,
145,SOMP (Students Oxygen Measurement Project),Dresden University of Technology,Germany,1U,2013-04-19,Operational,Educational training in space systems engineering and measuring atomic oxygen.,
146,Dove-1 (Dove 0601),Planet Labs,US,3U,2013-04-21,"Reentered, Operational",Constellation for optical Earth observation with 3-5m resolution.,
147,PhoneSat 1.0a (Graham),NASA Ames Research Center,US,1U,2013-04-21,"Reentered, Operational",Off-the-shelf commercial smartphone as the control system for the satellite and other technology demonstrations.,
148,"PhoneSat 1.0b (Bell, TechEdSat-2)",NASA Ames Research Center,US,1U,2013-04-21,"Reentered, Operational",Off-the-shelf commercial smartphone as the control system for the satellite and other technology demonstrations.,
149,PhoneSat 2.0a (Alexander),NASA Ames Research Center,US,1U,2013-04-21,"Reentered, Operational",Off-the-shelf commercial smartphone as the control system for the satellite and other technology demonstrations.,
150,CubeBug-1 (Capitán Beto),Satellogic,Argentina,2U,2013-04-26,Was operational,Demonstrate CubeSat platform technologies including reaction wheels and star tracker.,
151,NEE-01 Pegaso,EXA (Ecuador Space Agency),Ecuador,1U,2013-04-26,Was semi-operational,Transmit live video feed from orbit with SSTV.,
152,TURKSAT-3USAT,ITU (Istanbul Technical University,Turkey,3U,2013-04-26,Was operational,Main payload is linear transponder operating in VHF/UHF.,
153,ESTCube-1,University of Tartu,Estonia,1U,2013-05-07,Was operational,"Educational training, testing deployment of 10 m tether for deorbiting and camera.",
154,ArduSat,Spire,US,1U,2013-08-03,"Reentered, Operational",Platform for students and space enthusiasts to run space-based Arduino experiments.,
155,ArduSat-X,Spire,US,1U,2013-08-03,"Reentered, Operational",Platform for students and space enthusiasts to run space-based Arduino experiments.,
156,Pico Dragon (Picodragon),Vietnam National Satellite Center,Vietnam,1U,2013-08-03,"Reentered, Operational",Educational training and taking pictures of Earth.,
157,TechEdSat-3p,NASA Ames Research Center,US,3U,2013-08-03,"Reentered, Operational",Demonstrate drag device deorbiting system and Iridium modem.,
158,POPACS (Polar Orbiting Passive Atmospheric Calibration Sphere),Utah State University,US,3U,2013-09-29,Passive,3 passive spheres to assess changes in the density of the upper atmosphere.,
159,Black Knight 1 (BK 1),West Point Military Academy,US,1U,2013-11-20,"Reentered, No signal",Educational training for space systems engineering and camera payload.,
160,"CAPE-2 (CAPE2, OSCAR 75, LO-75)",University of Louisiana at Lafayette,US,1U,2013-11-20,"Reentered, Semi-operational",Demonstrate CubeSat platform technologies plus voice repeater payload.,
161,ChargerSat-1 (ChargerSat 1.2),University of Alabama,US,1U,2013-11-20,"Reentered, No signal",Educational training and demonstration of CubeSat platform technologies.,
162,COPPER (Close Orbiting Propellant Plume and Elemental Recognition),Saint Louis University,US,1U,2013-11-20,"Reentered, No signal",Demonstrate microbolometer array for infrared imaging and radiation measurements.,
163,DragonSat 1,Drexel University,US,1U,2013-11-20,"Reentered, No signal",Educational training for space systems engineering and taking photos of aurora.,
164,Firefly,NASA Goddard Space Flight Center,US,3U,2013-11-20,"Reentered, Operational",Investigate Terrestrial Gamma-ray Flashes (TGFs).,
165,Ho‘oponopono 2 (H2),University of Hawaii at Manoa,US,3U,2013-11-20,"Reentered, No signal",Radar calibration service.,
166,"Horus (STARE B, Space-Based Telescopes for Actionable Refinement of Ephemeris))",Lawrence Livermore National Laboratory,US,3U,2013-11-20,"Reentered, Was operational",Observe objects in space for space situational awareness and orbital parameters refinement.,
167,KYSAT II (KySat-2),Kentucky universities,US,1U,2013-11-20,"Reentered, Was operational",Demonstrate CubeSat platform technologies including stellar gyroscope and camera.,
168,NPS-SCAT (Naval Postgraduate School Solar Cell Array Tester),Naval Postgraduate School (NPS),US,1U,2013-11-20,"Reentered, Was operational",Experiment to measure solar cells degradation.,
169,"ORS Tech 1 (MBD, Multimission Bus Demonstration)",John Hopkins University,US,3U,2013-11-20,"Reentered, Operational",Demonstrate CubeSat platform technologies.,
170,"ORS Tech 2 (MBD, Multimission Bus Demonstration)",John Hopkins University,US,3U,2013-11-20,"Reentered, Operational",Demonstrate CubeSat platform technologies.,
171,"ORSES (ORS 1, ORS Enabler Satellite)",US Army Space and Missile Defense Command,US,3U,2013-11-20,"Reentered, Was operational",Provide communications and data capabilities for underserved tactical users based on SMDC-ONE.,
172,PhoneSat 2.4a,NASA Ames Research Center,US,1U,2013-11-20,"Reentered, Operational",Off-the-shelf commercial smartphone as the control system for the satellite and other technology demonstrations.,
173,Prometheus 1-1,USSOCOM (US Special Operations Command),US,1.5U,2013-11-20,"Reentered, Operational",Demonstrate CubeSat platform methodologies and communications for remote field units.,
174,Prometheus 1-2,USSOCOM (US Special Operations Command),US,1.5U,2013-11-20,"Reentered, Operational",Demonstrate CubeSat platform methodologies and communications for remote field units.,
175,Prometheus 1-3,USSOCOM (US Special Operations Command),US,1.5U,2013-11-20,"Reentered, Operational",Demonstrate CubeSat platform methodologies and communications for remote field units.,
176,Prometheus 1-4,USSOCOM (US Special Operations Command),US,1.5U,2013-11-20,"Reentered, Operational",Demonstrate CubeSat platform methodologies and communications for remote field units.,
177,Prometheus 1-5,USSOCOM (US Special Operations Command),US,1.5U,2013-11-20,"Reentered, Operational",Demonstrate CubeSat platform methodologies and communications for remote field units.,
178,Prometheus 1-6,USSOCOM (US Special Operations Command),US,1.5U,2013-11-20,"Reentered, Operational",Demonstrate CubeSat platform methodologies and communications for remote field units.,
179,Prometheus 1-7,USSOCOM (US Special Operations Command),US,1.5U,2013-11-20,"Reentered, Operational",Demonstrate CubeSat platform methodologies and communications for remote field units.,
